race_id,circuit,place_code,place,race_no,race_name,surface,distance_m,weather,going,start_time,head_count,horse_ids,jockey_ids,trainer_ids
202645061901,nar,45,川崎,1,3歳9,ダ,1400,,−,15:00,8,"['2023103396', '2023101839', '2023102528', '2023106038', '2023100026', '2023104911', '2023107501', '2023105674']","['05455', '05599', 'a056f', '05606', '05399', 'a0257', '05563', '05380']","['05302', 'a048c', 'a02d8', '05765', '05552', 'a048c', '05465', '05552']"
202645061902,nar,45,川崎,2,3歳8,ダ,1400,,−,15:30,9,"['2023103207', '2023104187', '2023104543', '2023105146', '2023104102', '2023106144', '2023106309', '2023100365', '2023102508']","['a0188', '05606', 'a05d8', 'a056f', '05683', '05630', 'a0257', '05524', '05599']","['05703', '05465', '05670', 'a03ec', 'a048f', 'a05d7', 'a0293', 'a0742', 'a02ef']"
202645061903,nar,45,川崎,3,スパーキングデビュー新馬(2歳),ダ,900,,−,16:00,6,"['2024103882', '2024101372', '2024104365', '2024101189', '2024101888', '2024102691']","['05647', '05599', '05455', '05630', '05524', '05555']","['05670', '05569', '05388', '05465', '05703', 'a02a8']"
202645061904,nar,45,川崎,4,スパーキングデビュー新馬(2歳),ダ,900,,−,16:30,5,"['2024100861', '2024103993', '2024102373', '2024101468', '2024105194']","['05606', '05683', 'a01df', '05380', '05455']","['a02e9', '05524', 'a02a8', '05302', 'a02d8']"
202645061905,nar,45,川崎,5,ヴェルザンディ賞(C2C3),ダ,2000,,−,17:00,10,"['2019106509', '2021100326', '2022103281', '2018100713', '2019104255', '2019107009', '2019102894', '2020104252', '2020105762', '2021106946']","['a0293', '05683', '05455', 'a0188', '05272', '05611', '05630', 'a056f', '05524', '05647']","['05765', 'a048f', '05302', 'a0174', 'a0165', '05779', 'a05d7', '05569', '05569', 'a0742']"
202645061906,nar,45,川崎,6,雲神賞(C2),ダ,900,,−,17:30,11,"['2020103432', '2021102906', '2021104550', '2022101506', '2022104011', '2022103408', '2022106417', '2022102591', '2018109111', '2021104315', '2021104290']","['05348', 'a01df', '05555', '05683', '05673', '05599', '05612', 'a0188', 'a02d7', '05563', 'a056f']","['a0253', '05552', 'a0214', 'a0293', 'a02e9', '05302', '05388', 'a02e9', 'a02d8', '05645', '05332']"
202645061907,nar,45,川崎,7,C1一二,ダ,1400,,−,18:00,12,"['2022104334', '2022101722', '2021102291', '2022102880', '2022102249', '2021103839', '2020100130', '2021104240', '2022102368', '2022105609', '2021103042', '2021104017']","['05690', '05598', '05563', 'a0257', 'a02d7', '05606', '05599', '05272', 'a05d8', '05555', '05595', '05380']","['a02ea', '05753', '05645', 'a02ef', '05524', '05332', '05569', 'a0293', '05465', '05331', 'a02d8', 'a0479']"
202645061908,nar,45,川崎,8,C1一二,ダ,1400,,−,18:30,12,"['2021104574', '2021101619', '2021104237', '2022107092', '2022100402', '2021101428', '2021102854', '2021109019', '2020100624', '2022103820', '2022104096', '2022101171']","['05443', '05555', '05607', '05665', '05380', '05606', '05272', '05683', '05563', 'a056f', '05647', '05630']","['05331', 'a0293', '05648', '05753', 'a02d8', 'a03ec', '05388', '05552', 'a048f', '05332', 'a048c', '05524']"
202645061909,nar,45,川崎,9,レーニョ賞(C1),ダ,1600,,−,19:05,12,"['2021100395', '2021100875', '2020101490', '2022106105', '2022101066', '2021100934', '2021105446', '2021104437', '2021106917', '2022101633', '2021106196', '2022100039']","['a02d7', '05404', '05599', 'a056f', '05562', 'a0188', '05455', '05524', '05399', '05443', '05606', '05647']","['a05d6', '05670', '05302', '05331', '05648', '05703', '05552', '05765', '05751', '05552', 'a0400', 'a05d7']"
202645061910,nar,45,川崎,10,千軍万馬賞(B2B3),ダ,900,,−,19:40,11,"['2017103375', '2017102453', '2022106057', '2021100246', '2019101665', '2021104390', '2020105738', '2023105887', '2021100007', '2022107022', '2018103174']","['05598', 'a02d7', '05673', '05606', '05455', '05683', '05590', 'a056f', '05524', '05562', '05563']","['a048f', 'a02d8', 'a02e9', '05388', 'a02e9', '05439', 'a02d8', '05439', '05552', '05670', '05465']"
